,Location,Company,Job Title,Job Description,Salary
1,London,maxgeo.com,Database Management Consultant for Mining and Exploration Industry,"Exposure to automating data capture.
Assessment of data quality against set criteria.
Tertiary qualification in computing science or geoscience is also an…","
£40,000 - £60,000 a year"
2,London,maxgeo.com,Database Management Consultant for Mining and Exploration Industry,"Exposure to automating data capture.
Assessment of data quality against set criteria.
Tertiary qualification in computing science or geoscience is also an…","
£40,000 - £60,000 a year"
3,London,maxgeo.com,Database Management Consultant for Mining and Exploration Industry,"Exposure to automating data capture.
Assessment of data quality against set criteria.
Tertiary qualification in computing science or geoscience is also an…",No salary information
4,London,managementsolutions,DATA SCIENCE CONSULTANT LONDON,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …",No salary information
5,London,Deloitte,"Senior Consultant, Banking Data Science, Consulting, London","Experience of the banking environment, products and front and back office operations/ functions;Experience of data analytics and visualisation products such as…",No salary information
6,London,Youthforce,Apprentice Laboratory Technician,"Technicians are crucial members of laboratories responsible for a range of duties including calibrating and setting up equipment, preparing chemical solutions,…",No salary information
7,London,GreySpark Partners,"Data Science Consultant, Data Analyst (London)","Understanding of data best practices and basic data governance principles.
As part of GreySpark’s Data Practice, you will be part of a specialised team of data…",No salary information
8,London,Capgemini,Data Science Consultant,"Capgemini Invent combines strategy, technology, data science and creative design to solve the most complex business and technology challenges.",No salary information
9,London,Leyton UK Limited,Science Consultant- Research and Development,"We have highly qualified teams of consultants in sales, science, tax, engineering and software who have helped deliver 100% success rate for HMRC submissions.",No salary information
10,London,managementsolutions,BUSINESS CONSULTANT LONDON,"You will be working in key projects for leading organizations in the strategy, commercial effectiveness, transformation: organization and processes, risk…",No salary information
11,London,Sywbol,Business Intelligence Consultant - (Office or Remote - Work from Home),"Use data visualization techniques to present information.
Analyze big data to discover trends and patterns.
Ensure we use accurate and secure methods to extract…",No salary information
12,London,Grayce,Data Development Programme –,"2:1 minimum degree with an analytical focus & data handling such as STEM.
An ambition to work with data and an understanding of how it can help organisations…",No salary information
13,London,BAE Systems Applied Intelligence,2021 Summer Internship - Consulting,You will creatively apply data science approaches to develop analytic results which turn data into information - information into knowledge and insights - and…,No salary information
14,London,OC&C Strategy Consultants,Associate Consultant 2021 - Analytics (London Office),"OC&C is regularly tasked with problems where the answers are hidden in large, messy and complex data sets such as transaction data, customer-behaviour data and…",No salary information
15,London,Syneos Health Commercial Solutions,Graduate Consultant,"Strong analytical capabilities, familiarity and comfort with business, scientific and clinical data (essential).",No salary information
16,London,Amey plc,Senior Strategic Consultant - Data Science & Analytics,"Although you may have strengths in areas of data science, we encourage our consultants to cultivate a wide range of both technical and non-technical skills.",No salary information
17,London,Octamis,Junior Consultant,"BA/BS preferred in computer science, computer engineering, mathematics or equivalent work experience.
Happy to travel 80% of the time in the UK and sometimes in…",No salary information
18,London,Amey plc,Senior Strategic Consultant - Data Science & Analytics,"Although you may have strengths in areas of data science, we encourage our consultants to cultivate a wide range of both technical and non-technical skills.",No salary information
19,London,Octamis,Junior Consultant,"BA/BS preferred in computer science, computer engineering, mathematics or equivalent work experience.
Happy to travel 80% of the time in the UK and sometimes in…",No salary information
20,London,Artefact,Data & Analytics Consultant (m/f/d),"Optionally, knowledge of data processing and data modeling algorithms and techniques.
A minimum of 1 year of work experience in a data-driven working…",No salary information
21,London,Capgemini,"Operations Transformation - Business Analysis, Consultant","Through our operations transformation and business analysis capabilities specifically, we create new solutions for our clients using leading techniques,…",No salary information
22,London,Artefact,Data & Analytics Consultant,"Optionally, knowledge of data processing and data modeling algorithms and techniques.
A minimum of 1 year of work experience in a data-driven working…",No salary information
23,London,Deloitte,"Consultant, Data Scientist, Ventures, Tax, London","This role will involve working on the delivery of key data science driven services and transformation projects.
The role can be worked on a full-time basis.",No salary information
24,London,EY,Senior Consultant - People Analytics - People Advisory Services (UK&I) - Open to Flexible Working,"Previous experience working in a data analytics, data modelling or data scientist capacity either in a professional services environment or corporate inhouse…",No salary information
25,London,Wood Mackenzie,Research/Consulting Internship - 2021 Summer Internship Program - CR,"We are looking for 1st, 2nd or 3rd Under-graduates studying in an energy-related; science; engineering or analytical or business degree subject area.",No salary information
26,London,STEM Graduates,Data Engineering & Analytics,Created a data analytics database for computational chemistry as part of a wider data infrastructure for augmented drug discovery.,No salary information
27,London,Amey,Senior Strategic Consultant - Data Science & Analytics,"Although you may have strengths in areas of data science, we encourage our consultants to cultivate a wide range of both technical and non-technical skills.",No salary information
28,London,Jacobs,Graduate Asset Management Consultant,"Some experience with data analytics and manipulation.
Our multi-criteria analysis makes use of client data enabling informed decision.",No salary information
29,London,PA Consulting Group,Strategy & Analytics Graduate Scheme,"Whether you build frameworks for managing data, provide in-depth analysis or model data, you could help clients across a range of different sectors.",No salary information
30,London,AIR,Catastrophe Modeller / Risk Consultant,"A degree in science, engineering or mathematics , or the equivalent professional experience.
Verisk (Nasdaq: VRSK) provides data and insights to our customers…",No salary information
31,London,Ipsos,Public Affairs - Consultant (Policy and Evaluation),"A strong academic background in social sciences (e.g. economics, political science, public administration, economic geography).",No salary information
32,London,CCG Associates,Recruitment Consultant – IT / Data,"My client experienced considerable growth last year and is now looking to add to their team in London, focusing on Data and Analytics, Cyber Security and…",No salary information
33,London,Afiniti,Senior Data Analytics Consultant,"Ensure quality, reliability and integrity of data obtained from client sources and offline data sources (ensure that data contains required information for…",No salary information
34,London,Informed Solutions,Technical Consultant - Graduate Programme,"The graduate programme at Informed Solutions will equip you with the necessary skills, experience and feedback needed to take ownership of your career…",No salary information
35,London,IBM,Regulatory Compliance Analyst - Promontory,"Gather, analyse, and interpret data related to the scope of the project.
The Analyst position is the first step in your career with Promontory Financial Group,…",No salary information
36,London,PwC,Customer Analytics Data Scientist,"Own the data science solution in production.
Deep technical expertise in data science, statistical modelling and/or machine learning.",No salary information
37,London,Syneos Health Commercial Solutions,Consultant Medical Affairs,"A MBA or graduate degree in business or life sciences (highly preferred).
Using research from competitive pipelines, company websites, prescribing information,…",No salary information
38,London,Benchling,Scientific Solutions Consultant,"Master's degree in life sciences or engineering, Ph.D. preferred.
Experience with LIMS, ELN, or relevant scientific/informatics data management software…",No salary information
39,London,AWS EMEA SARL (UK Branch),"Database Migration Consultant, Global Financial Services","Bachelor's degree in Computer science or equivalent experience.
Our professional services engagements will focus on customer solutions such as high volume…",No salary information
40,London,Capgemini,Management Consultant - Contact Centre Transformation,"You’ll bring deep Customer Engagement expertise within Contact Centre operations, with experience in the Government/Public Sector, Financial Services &…",No salary information
41,London,Capgemini,Consultant - Digital Marketing,"Experience designing and delivering digital customer engagements (e.g. campaign management, data-driven marketing, social media strategy, and customer…",No salary information
42,London,Capgemini,Management Consultant – Contact Centre Transformation,"You’ll bring deep Customer Engagement expertise within Contact Centre operations, with experience in the Government/Public Sector, Financial Services &…",No salary information
43,London,Resolver Inc.,Solution Consultant,"You are a customer advocate, who helps guide Resolver’s SaaS implementations by separating wants from needs, providing recommendations, configuring off-the…",No salary information
44,London,managementsolutions,NEW TECHNOLOGIES AND DIGITAL TRANSFORMATION CONSULTANT LONDON,"And risk and regulatory management (cybersecurity, data quality and data governance, etc.).
You will be working in key projects for leading organizations in IT…",No salary information
45,London,AIR,Risk Analysis Internship - 2021 Summer Internship Program - CR,"The role includes project-based data analytics under the supervision of experienced consultants, where large volumes of insurance portfolio data will be…",No salary information
46,London,Refinitiv,Pre-Sales Consultant,"Bachelor's degree in data science or computer science preferred.
Delivering must-have insight to the financial and risk, legal, tax and accounting, intellectual…",No salary information
47,London,CitizenMe,Data Insight Consultant,"Up-to-date understanding of key developments in the data economy (big data, personal data management, privacy, regulation e.g. GDPR) and developments in data…",No salary information
48,London,CitizenMe,Data Insight Consultant,"Up-to-date understanding of key developments in the data economy (big data, personal data management, privacy, regulation e.g. GDPR) and developments in data…",No salary information
49,London,Clarivate Analytics,Solutions consultant,"A scientific background is a plus, preferably in life sciences.
This is a customer facing position responsible for arranging, preparing and delivering…",No salary information
50,London,Coursera,"Skills Transformation Consultant, EMEA (Middle East Focus)","Proficiency with data analysis in Excel / Google sheets.
You will have to quickly develop expertise in a wide variety of skill areas, from leadership and…",No salary information
51,London,Capgemini,Operations Transformation – Senior Process Excellence Consultant,"Analysing and presenting complex processes and data in a logical, structured and compelling manner.
You may already be a consultant, or you may be working…",No salary information
52,London,SmartAnalyst,Associate Consultant – Life Sciences Strategic Consulting,"4+ years of relevant life sciences industry or consulting experience.
The candidate is expected to understand key data sources, perform and synthesize complex…",No salary information
53,London,McKinsey & Company,Data Science Fellow - OrgAnalytics (part time),"You will analyse and evaluate a wide range of data, including data from human resources information systems, business metrics, and survey assessments.",No salary information
54,London,Resolver,Solution Consultant,"You are a customer advocate, who helps guide Resolver’s SaaS implementations by separating wants from needs, providing recommendations, configuring off-the…",No salary information
55,London,Hitachi Solutions,BI Consultant - Managed Services Data Analytics,"This will include developing and optimising databases, data pipelines, analytical data models and interactive dashboards in Power BI to help our customers…",No salary information
